Country,SiteID,SiteName,StudyNumber,Measure_Year,Measure_Month,Measure_DOY,Lat_Original,Long_Original,Latitude,Longitude,RS_Paper,RS_Norm,Tsoil(C),SoilMoisture(%),Meas_Method,IGBP_FromPaper,Ecosystem_type,Leaf_habit,DOY_Frequency,Tm,Comments
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,7,211,45.5,-93.17,45.75,-93.25,0.853,5.384,9.964,,IRGA,DBF,Forest,Deciduous,12,23.4,GMC co2/m2/hr to C/m2/day
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,8,218,45.5,-93.17,45.75,-93.25,0.671,4.235,9.024,,IRGA,DBF,Forest,Deciduous,15,18.8,GMC co2/m2/hr to C/m2/day
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,8,218,45.5,-93.17,45.75,-93.25,0.551,3.477,9.024,,IRGA,DBF,Forest,Deciduous,15,18.8,GMC co2/m2/hr to C/m2/day
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,8,218,45.5,-93.17,45.75,-93.25,0.676,4.266,9.024,,IRGA,DBF,Forest,Deciduous,15,18.8,GMC co2/m2/hr to C/m2/hr
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,8,223,45.5,-93.17,45.75,-93.25,0.542,3.421,8.593,,IRGA,DBF,Forest,Deciduous,15,18.8,GMC co2/m2/hr to C/m2/hr
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,8,223,45.5,-93.17,45.75,-93.25,0.45,2.84,8.593,,IRGA,DBF,Forest,Deciduous,15,18.8,GMC co2/m2/hr to C/m2/day
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,8,223,45.5,-93.17,45.75,-93.25,0.589,3.717,8.593,,IRGA,DBF,Forest,Deciduous,15,18.8,GMC co2/m2/hr to C/m2/day
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,8,228,45.5,-93.17,45.75,-93.25,0.648,4.09,9.559,,IRGA,DBF,Forest,Deciduous,15,18.8,GMC co2/m2/hr to C/m2/day
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,8,228,45.5,-93.17,45.75,-93.25,0.52,3.282,9.559,,IRGA,DBF,Forest,Deciduous,15,18.8,GMC co2/m2/hr to C/m2/day
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,8,228,45.5,-93.17,45.75,-93.25,0.812,5.125,9.559,,IRGA,DBF,Forest,Deciduous,15,18.8,GMC co2/m2/hr to C/m2/hr
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,8,236,45.5,-93.17,45.75,-93.25,0.55,3.471,7.355,,IRGA,DBF,Forest,Deciduous,15,18.8,GMC co2/m2/hr to C/m2/hr
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,8,236,45.5,-93.17,45.75,-93.25,0.403,2.543,7.355,,IRGA,DBF,Forest,Deciduous,15,18.8,GMC co2/m2/hr to C/m2/day
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,8,236,45.5,-93.17,45.75,-93.25,0.474,2.991,7.355,,IRGA,DBF,Forest,Deciduous,15,18.8,GMC co2/m2/hr to C/m2/day
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,8,243,45.5,-93.17,45.75,-93.25,0.74,4.67,9.502,,IRGA,DBF,Forest,Deciduous,15,18.8,GMC co2/m2/hr to C/m2/day
